team_id,team,group,confederation
1,Mexico,A,CONCACAF
2,South Africa,A,CAF
3,South Korea,A,AFC
4,Czechia,A,UEFA
5,Canada,B,CONCACAF
6,Switzerland,B,UEFA
7,Qatar,B,AFC
8,Bosnia-Herzegovina,B,UEFA
9,Brazil,C,CONMEBOL
10,Morocco,C,CAF
11,Scotland,C,UEFA
12,Haiti,C,CONCACAF
13,United States,D,CONCACAF
14,Paraguay,D,CONMEBOL
15,Australia,D,AFC
16,Türkiye,D,UEFA
17,Germany,E,UEFA
18,Curaçao,E,CONCACAF
19,Ivory Coast,E,CAF
20,Ecuador,E,CONMEBOL
21,Netherlands,F,UEFA
22,Japan,F,AFC
23,Tunisia,F,CAF
24,Sweden,F,UEFA
25,Belgium,G,UEFA
26,Egypt,G,CAF
27,Iran,G,AFC
28,New Zealand,G,OFC
29,Spain,H,UEFA
30,Cape Verde,H,CAF
31,Saudi Arabia,H,AFC
32,Uruguay,H,CONMEBOL
33,France,I,UEFA
34,Senegal,I,CAF
35,Norway,I,UEFA
36,Iraq,I,AFC
37,Argentina,J,CONMEBOL
38,Algeria,J,CAF
39,Austria,J,UEFA
40,Jordan,J,AFC
41,Portugal,K,UEFA
42,Colombia,K,CONMEBOL
43,Uzbekistan,K,AFC
44,Congo Dr,K,CAF
45,England,L,UEFA
46,Croatia,L,UEFA
47,Ghana,L,CAF
48,Panama,L,CONCACAF
